x RC1 Energy
0 1.118609820833566 0.0 
1 1.199106981848422 7.790807632292854 
2 1.284028880340446 29.60517266926763 
3 1.378868766850313 59.909420500946 
4 1.5073706292151134 75.91841406150343 
5 1.6150221315397606 81.18209063630638 
6 1.7182399682531027 82.51196416073799 
7 1.8206019659054908 64.39428763424075 
8 1.920633934116874 62.552460284598055 
9 2.0205111619406098 60.89198246468004 
10 2.1201196075937023 59.23121924382576 
11 2.218976156150147 58.202572321897605 
12 2.3195440433386687 56.727817965373106 
13 2.418877935557695 56.09428357981233 
